vid_name,date,video_name,already_obtained,analysed,Quality,frame_rate,total_frames,video_length,number_of_splits,bait,location_old,block_old,key,treatment_old,mooring,vlookup,location,location_differs,block,block_differs,treatment,depth,QC,block_location,treatment_bait,rand_order,EDA,Used_for_Object_ID,action,notes
20211223_BRUV_SB_B2_Chain_D195_FAIL,20211223,BRUV_SB_B2_Chain_D195_FAIL,yes,no,yes,30,172101,95.61166667,20,BRUV,SB,B2,20211223_BRUV_D195,Chain,D195,chain_BRUV_D195_20211223,SB,yes,B2,yes,chain,7.7,FAIL,SB_B2,chain_BRUV,0.999578175,yes,y,,
20211124_BRUV_SB_B1_Chain_D195,20211124,BRUV_SB_B1_Chain_D195,yes,yes,yes,60,182886,50.80166667,11,BRUV,SB,B1,20211124_BRUV_D195,Chain,D195,chain_BRUV_D195_20211124,SB,yes,B1,yes,chain,7.6,PASS,SB_B1,chain_BRUV,0.989303975,yes,y,transfer from surrounding_videos,
20211116_BRUV_SB_B1_Chain_7907,20211116,BRUV_SB_B1_Chain_7907,yes,yes,yes,30,107639,59.79944444,12,BRUV,SB,B1,20211116_BRUV_7907,Chain,7907,chain_BRUV_7907_20211116,BP,no,B3,no,chain,6.8,PASS,BP_B3,chain_BRUV,0.980040749,yes,y,,
20211217_BRUV_SB_B4_EFM_E663,20211217,BRUV_SB_B4_EFM_E663,yes,yes,yes,30,79587,44.215,9,BRUV,SB,B4,20211217_BRUV_E663,EFM,E663,EFM_BRUV_E663_20211217,BP,no,B4,yes,EFM,16.7,PASS,BP_B4,EFM_BRUV,0.940380255,no,y,,
20211116_BRUV_BP_B1_Chain_D067_TOODARK,20211116,BRUV_BP_B1_Chain_D067_TOODARK,no,no,yes,30,14839,8.243888889,2,BRUV,BP,B1,20211116_BRUV_D067,Chain,D067,chain_BRUV_D067_20211116,BP,yes,B3,no,chain,7.5,FAIL,BP_B3,chain_BRUV,0.904634001,no,n,,Too dark so removed
20211008_BRUV_SB_B1_Control,20211008,BRUV_SB_B1_Control,yes,yes,yes,47.95,120185,41.7744178,9,BRUV,SB,B1,20211008_BRUV_C_SB_B2,Control,C_SB_B2,control_BRUV_C_20211008,SB,yes,B2,no,control,3,PASS,SB_B2,control_BRUV,0.82982086,no,y,,
20220112_BRUV_SB_B2_Chain_10564,20220112,BRUV_SB_B2_Chain_10564,yes,yes,yes,59.94,399982,111.2173284,23,BRUV,SB,B2,20220112_BRUV_10564,Chain,10564,chain_BRUV_10564_20220112,SB,yes,B2,yes,chain,5.2,PASS,SB_B2,chain_BRUV,0.800682256,no,y,,
20211217_BRUV_SB_B2_Chain_D083,20211217,BRUV_SB_B2_Chain_D083,yes,yes,yes,30,104619,58.12166667,12,BRUV,SB,B2,20211217_BRUV_D083,Chain,D083,chain_BRUV_D083_20211217,SB,yes,B2,yes,chain,4.4,FAIL,SB_B2,chain_BRUV,0.788659223,no,y,,
20210927_BRUVS_NWB_B2_TRAD_9619,20210927,BRUVS_NWB_B2_TRAD_9619,yes,yes,yes,50,119324,39.77466667,8,BRUV,NWB,B2,20210927_BRUV_9619,TRAD,9619,chain_BRUV_9619_20210927,NWB,yes,B2,yes,chain,7.3,PASS,NWB_B2,chain_BRUV,0.787243195,no,y,,
20211008_BRUV_SB_B1_EFM_OLD_11150,20211008,BRUV_SB_B1_EFM_OLD_11150,yes,yes,yes,30,16525,9.180555556,2,BRUV,SB,B1,20211008_BRUV_11150,EFM,11150,EFM_BRUV_11150_20211008,SB,yes,B2,no,EFM,3,PASS,SB_B2,EFM_BRUV,0.7773574,no,y,,
