vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2017_Sandy_Billabong_2017_Transect_1_Location_8,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 1_Location 8_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 1/Location 8/,2017,Sandy,Transect 1,Location 8,50,266996,88.99866667,23,0.996915448,yes,
2018_Sandy_Billabong_2018_Transect_5_Location_3,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 5_Location 3_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 5/Location 3/,2018,Sandy,Transect 5,Location 3,50,232247,77.41566667,20,0.996452491,yes,
2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_4_Camera_19,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 4 Camera 19_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 4 Camera 19/,2016,Mudginberri,Transect 5,Location 4,50,224675,74.89166667,19,0.992217632,yes,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_5_Camera_11,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 5 Camera 11_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 5 Camera 11/,2016,Sandy,Transect 1,Location 5,50,224774,74.92466667,19,0.99073366,yes,
2018_Sandy_Billabong_2018_Transect_4_Location_5,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 4_Location 5_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 4/Location 5/,2018,Sandy,Transect 4,Location 5,47.95204795,241702,84.00822986,22,0.987129701,yes,
2018_Mudginberri_Billabong_2018_Transect_5_Location_8,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 5_Location 8_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 5/Location 8/,2018,Mudginberri,Transect 5,Location 8,50,200360,66.78666667,17,0.986613017,yes,
2017_Mudginberri_Billabong_2017_Transect_1_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 9/,2017,Mudginberri,Transect 1,Location 9,50,218510,72.83666667,19,0.985959682,yes,
2017_Mudginberri_Billabong_2017_Transect_3_Location_6,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 3_Location 6_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 3/Location 6/,2017,Mudginberri,Transect 3,Location 6,50,208699,69.56633333,18,0.984384919,yes,
2018_Mudginberri_Billabong_2018_Transect_5_Location_5,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 5_Location 5_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 5/Location 5/,2018,Mudginberri,Transect 5,Location 5,50,219709,73.23633333,19,0.982736005,yes,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_3_Camera_1,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 3 Camera 1_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 3 Camera 1/,2016,Sandy,Transect 3,Location 3,50,280282,93.42733333,24,0.977130129,yes,
