opcode,species,family,maxn,recreational,time_to_appear,time_to_maxn,vid_name
chain_BRUV_10564_20211223,Arripis truttaceus,Arripidae,4,REC,3.09,3.1908,20211223_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20211223,Platycephalus bassensis,Platycephalidae,14,no,3.36861,FALSE,20211223_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20211223,Rajidae,Rajidae,1,no,12.15639,12.15639,20211223_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20211223,Sillaginodes punctata,Sillaginidae,2,REC,19.83667,FALSE,20211223_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Arripis truttaceus,Arripidae,3,REC,6.11138,FALSE,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Pseudocaranx ,Carangidae,9,REC,8.60443,FALSE,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Dicotylichthys punctulatus,Diodontidae,1,no,3.69147,3.69147,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Moridae,Moridae,1,no,0.48771,0.48771,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Platycephalus bassensis,Platycephalidae,19,REC,4.14831,FALSE,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Rajidae,Rajidae,1,no,0.15682,0.15682,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Sillaginodes punctata,Sillaginidae,2,REC,9.67439,FALSE,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Chyrosophyrs auratus,Sparidae,3,REC,21.1033,FALSE,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_10564_20220112,Trygonoptera,Trygonoptera,1,no,25.22603,25.22603,20220112_BRUV_SB_B2_Chain_10564
chain_BRUV_5446_20210927,Arripis truttaceus,Arripidae,23,REC,4.92,FALSE,chain_BRUV_5446_20210927
chain_BRUV_5446_20210927,spotty brown skate,Rajidae,1,no,6.45,6.45,chain_BRUV_5446_20210927
chain_BRUV_5446_20210927,Dicotylichthys punctulatus,Tetraodontidae,1,no,14. 8,14. 8,chain_BRUV_5446_20210927
chain_BRUV_5446_20210927,Platycephalus bassensis,Platycephalidae,8,REC,5.01,FALSE,chain_BRUV_5446_20210927
chain_BRUV_5446_20210927,Naxia aurita,Majidae,1,no,20.16,20.16,chain_BRUV_5446_20210927
chain_BRUV_5591_20211008,Arripis truttaceus,Arripidae,2,REC,11,FALSE,chain_BRUV_5446_20210927
chain_BRUV_5591_20211008,Blenniidae,Blenniidae,1,no,25.64,25.64,chain_BRUV_5446_20210927
chain_BRUV_5591_20211008,Brachaluteres jacksonianus,Monacanthidae,1,no,10.15,10.15,chain_BRUV_5446_20210927
chain_BRUV_7907_20211116,Arripis truttaceus,Arripidae,3,REC,13.24362,FALSE,chain_BRUV_5446_20210927
chain_BRUV_7907_20211116,Platycephalus bassensis,Platycephalidae,5,REC,9.9484,FALSE,chain_BRUV_5446_20210927
chain_BRUV_7907_20211116,Rajidae,Rajidae,1,no,36.33682,36.33682,chain_BRUV_5446_20210927
chain_BRUV_7907_20211116,Cephaloscyllium laticeps,Scyliorhinidae,2,no,12.15058,FALSE,chain_BRUV_5446_20210927
chain_BRUV_7951_20211209,Arripis truttaceus,Arripidae,2,REC,,FALSE,chain_BRUV_5446_20210927
chain_BRUV_7951_20211209,Octopus,Octopus,1,no,,0,chain_BRUV_5446_20210927
chain_BRUV_7951_20211209,Platycephalus bassensis,Platycephalidae,3,REC,,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Arripis truttaceus,Arripidae,4,REC,2.36694,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Pseudocaranx ,Carangidae,1,REC,46.54333,46.54333,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Trachurus novaezelandiae,Carangidae,5,REC,1.59,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Dasyatis brevicaudata,Dasyatidae,1,no,19.67028,19.67028,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Dicotylichthys punctulatus,Diodontidae,1,no,22.87667,22.87667,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Meuschenia freycineti,Monacanthidae,1,REC,37.16139,37.16139,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Platycephalus bassensis,Platycephalidae,11,REC,0.34917,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Sillaginodes punctata,Sillaginidae,2,REC,27.24417,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8299_20220112,Chyrosophyrs auratus,Sparidae,1,REC,20.45139,20.45139,chain_BRUV_5446_20210927
chain_BRUV_8996_20211223,Arripis truttaceus,Arripidae,2,REC,31.44222,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8996_20211223,Moridae,Moridae,3,no,21.535,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8996_20211223,Platycephalus bassensis,Platycephalidae,5,REC,32.30333,FALSE,chain_BRUV_5446_20210927
chain_BRUV_8996_20211223,Rajidae,Rajidae,1,no,52.87056,52.87056,chain_BRUV_5446_20210927
chain_BRUV_9619_20210927,Moridae,Moridae,2,no,6.889,FALSE,chain_BRUV_9619_20210927
chain_BRUV_9619_20210927,Arripis truttaceus,Arripidae,2,REC,3.08567,FALSE,chain_BRUV_9619_20210927
