"","...1","Video_name","Class","measure","value","vid_name_long","vid_location","year","river","transect","location","frame_rate","total_frames","video_length","number_of_splits","rand_order","EDA","notes","Mobility","Schooling","Schooling_3_groups","Mobility_3_groups","...6","...7","...8","value_tol"
"1",15,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_10_Camera_15","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 10 Camera 15_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 10 Camera 15/","2016","Mudginberri","Transect 1","Location 10",50,231088,77.02933333,20,0.706747434,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"2",55,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_1_Camera_21","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 1 Camera 21_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 1 Camera 21/","2016","Mudginberri","Transect 1","Location 1",50,212091,70.697,18,0.574793711,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"3",95,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_2_Camera_22","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 2 Camera 22_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 2 Camera 22/","2016","Mudginberri","Transect 1","Location 2",50,211590,70.53,18,0.575581808,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"4",135,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_3_Camera_16","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 3 Camera 16_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 3 Camera 16/","2016","Mudginberri","Transect 1","Location 3",50,219711,73.237,19,0.067947764,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"5",175,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_4_Camera_12","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 4 Camera 12_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 4 Camera 12/","2016","Mudginberri","Transect 1","Location 4",50,232490,77.49666667,20,0.77010882,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"6",215,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_5_Camera_20","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 5 Camera 20_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 5 Camera 20/","2016","Mudginberri","Transect 1","Location 5",50,200611,66.87033333,17,0.238367022,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"7",255,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_6_Camera_19","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 6 Camera 19_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 6 Camera 19/","2016","Mudginberri","Transect 1","Location 6",50,231477,77.159,20,0.204218752,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"8",295,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_7_Camera_14","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 7 Camera 14_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 7 Camera 14/","2016","Mudginberri","Transect 1","Location 7",50,229384,76.46133333,20,0.42737747,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"9",335,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_8_Camera_17","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 8 Camera 17_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 8 Camera 17/","2016","Mudginberri","Transect 1","Location 8",50,231014,77.00466667,20,0.388200371,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"10",375,"2016_Channels_2016_Mudginberri_Videos_Transect_1_Location_9_Camera_18","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 1_Location 9 Camera 18_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 1/Location 9 Camera 18/","2016","Mudginberri","Transect 1","Location 9",50,221422,73.80733333,19,0.409148974,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
